date,spx_tr,tsy_3m,margin_rate,cpi
1951-05-29,2.238697102,0.03,0.034,25.9000
1951-05-31,2.256522801,0.03,0.034,25.9000
1951-06-01,2.265407539,0.03,0.034,25.9000
1951-06-04,2.240095746,0.03,0.034,25.9000
1951-06-05,2.249587694,0.03,0.034,25.9000
1951-06-06,2.265407539,0.03,0.034,25.9000
1951-06-07,2.273844803,0.03,0.034,25.9000
1951-06-08,2.266462222,0.03,0.034,25.9000
1951-06-11,2.279118219,0.03,0.034,25.9000
1951-06-12,2.269626272,0.03,0.034,25.9000
1951-06-13,2.27279012,0.03,0.034,25.9000
1951-06-14,2.303375328,0.03,0.034,25.9000
1951-06-15,2.324468589,0.03,0.034,25.9000
1951-06-18,2.325523071,0.03,0.034,25.9000
1951-06-19,2.322359223,0.03,0.034,25.9000
1951-06-20,2.310757909,0.03,0.034,25.9000
1951-06-21,2.29704743,0.03,0.034,25.9000
1951-06-22,2.27279012,0.03,0.034,25.9000
1951-06-25,2.245369162,0.03,0.034,25.9000
1951-06-26,2.246423644,0.03,0.034,25.9000
1951-06-27,2.253806426,0.03,0.034,25.9000
1951-06-28,2.225330584,0.03,0.034,25.9000
1951-06-29,2.210565221,0.03,0.034,25.9000
1951-07-02,2.238587666,0.03,0.034,25.9000
1951-07-03,2.252379823,0.03,0.034,25.9000
1951-07-05,2.295878429,0.03,0.034,25.9000
1951-07-06,2.295878429,0.03,0.034,25.9000
1951-07-09,2.305426924,0.03,0.034,25.9000
1951-07-10,2.294817463,0.03,0.034,25.9000
1951-07-11,2.300122294,0.03,0.034,25.9000
1951-07-12,2.312853485,0.03,0.034,25.9000
1951-07-13,2.331950474,0.03,0.034,25.9000
1951-07-16,2.305426924,0.03,0.034,25.9000
1951-07-17,2.325584878,0.03,0.034,25.9000
1951-07-18,2.321341013,0.03,0.034,25.9000
1951-07-19,2.31709735,0.03,0.034,25.9000
1951-07-20,2.321341013,0.03,0.034,25.9000
1951-07-23,2.344681867,0.03,0.034,25.9000
1951-07-24,2.380753911,0.03,0.034,25.9000
1951-07-25,2.368022518,0.03,0.034,25.9000
1951-07-26,2.383936607,0.03,0.034,25.9000
1951-07-27,2.390302405,0.03,0.034,25.9000
1951-07-30,2.400911663,0.03,0.034,25.9000
1951-07-31,2.376510046,0.03,0.034,25.9000
1951-08-01,2.396826454,0.03,0.034,25.9000
1951-08-02,2.429834668,0.03,0.034,25.9000
1951-08-03,2.43302909,0.03,0.034,25.9000
1951-08-06,2.450065601,0.03,0.034,25.9000
1951-08-07,2.452195216,0.03,0.034,25.9000
1951-08-08,2.441547346,0.03,0.034,25.9000
1951-08-09,2.431964283,0.03,0.034,25.9000
1951-08-10,2.426640449,0.03,0.034,25.9000
1951-08-13,2.427705054,0.03,0.034,25.9000
1951-08-14,2.417057386,0.03,0.034,25.9000
1951-08-15,2.426640449,0.03,0.034,25.9000
1951-08-16,2.435158705,0.03,0.034,25.9000
1951-08-17,2.442612153,0.03,0.034,25.9000
1951-08-20,2.441547346,0.03,0.034,25.9000
1951-08-21,2.430899476,0.03,0.034,25.9000
1951-08-22,2.42238122,0.03,0.034,25.9000
1951-08-23,2.438352924,0.03,0.034,25.9000
1951-08-24,2.436223309,0.03,0.034,25.9000
1951-08-27,2.43302909,0.03,0.034,25.9000
1951-08-28,2.438352924,0.03,0.034,25.9000
1951-08-29,2.457519049,0.03,0.034,25.9000
1951-08-30,2.47455556,0.03,0.034,25.9000
1951-08-31,2.47881479,0.03,0.034,25.9000
1951-09-04,2.487458351,0.03,0.034,26.1000
1951-09-05,2.502417227,0.03,0.034,26.1000
1951-09-06,2.507759625,0.03,0.034,26.1000
1951-09-07,2.514170747,0.03,0.034,26.1000
1951-09-10,2.523787225,0.03,0.034,26.1000
1951-09-11,2.510965186,0.03,0.034,26.1000
1951-09-12,2.521650185,0.03,0.034,26.1000
1951-09-13,2.5334035,0.03,0.034,26.1000
1951-09-14,2.531266664,0.03,0.034,26.1000
1951-09-17,2.523787225,0.03,0.034,26.1000
1951-09-18,2.520581665,0.03,0.034,26.1000
1951-09-19,2.520581665,0.03,0.034,26.1000
1951-09-20,2.518444624,0.03,0.034,26.1000
1951-09-21,2.500280187,0.03,0.034,26.1000
1951-09-24,2.489595188,0.03,0.034,26.1000
1951-09-25,2.498143146,0.03,0.034,26.1000
1951-09-26,2.500280187,0.03,0.034,26.1000
1951-09-27,2.486389831,0.03,0.034,26.1000
1951-09-28,2.485321311,0.03,0.034,26.1000
1951-10-01,2.516501673,0.03,0.034,26.2000
1951-10-02,2.534729432,0.03,0.034,26.2000
1951-10-03,2.550812904,0.03,0.034,26.2000
1951-10-04,2.543307188,0.03,0.034,26.2000
1951-10-05,2.549740659,0.03,0.034,26.2000
1951-10-08,2.546523924,0.03,0.034,26.2000
1951-10-09,2.535801677,0.03,0.034,26.2000
1951-10-10,2.531512901,0.03,0.034,26.2000
1951-10-11,2.541162903,0.03,0.034,26.2000
1951-10-15,2.557246171,0.03,0.034,26.2000
1951-10-16,2.548668414,0.03,0.034,26.2000
1951-10-17,2.540090657,0.03,0.034,26.2000
1951-10-18,2.537946167,0.03,0.034,26.2000
1951-10-19,2.500418405,0.03,0.034,26.2000
1951-10-22,2.439301864,0.03,0.034,26.2000
1951-10-23,2.448951866,0.03,0.034,26.2000
1951-10-24,2.469324114,0.03,0.034,26.2000
1951-10-25,2.461818398,0.03,0.034,26.2000
1951-10-26,2.44573513,0.03,0.034,26.2000
1951-10-29,2.432868597,0.03,0.034,26.2000
1951-10-30,2.429651862,0.03,0.034,26.2000
1951-10-31,2.459674112,0.03,0.034,26.2000
1951-11-01,2.492854274,0.03,0.034,26.4000
1951-11-02,2.474508585,0.03,0.034,26.4000
1951-11-05,2.462637785,0.03,0.034,26.4000
1951-11-07,2.42702559,0.03,0.034,26.4000
1951-11-08,2.424867225,0.03,0.034,26.4000
1951-11-09,2.455083714,0.03,0.034,26.4000
1951-11-13,2.459400443,0.03,0.034,26.4000
1951-11-14,2.465875332,0.03,0.034,26.4000
1951-11-15,2.464796149,0.03,0.034,26.4000
1951-11-16,2.462637785,0.03,0.034,26.4000
1951-11-19,2.452925349,0.03,0.034,26.4000
1951-11-20,2.447529643,0.03,0.034,26.4000
1951-11-21,2.443212913,0.03,0.034,26.4000
1951-11-23,2.417313154,0.03,0.034,26.4000
1951-11-26,2.420550701,0.03,0.034,26.4000
1951-11-27,2.445371278,0.03,0.034,26.4000
1951-11-28,2.439975572,0.03,0.034,26.4000
1951-11-29,2.446450461,0.03,0.034,26.4000
1951-11-30,2.469112673,0.03,0.034,26.4000
1951-12-03,2.499261713,0.03,0.034,26.5000
1951-12-04,2.513381744,0.03,0.034,26.5000
1951-12-05,2.505778634,0.03,0.034,26.5000
1951-12-06,2.535105092,0.03,0.034,26.5000
1951-12-07,2.539449638,0.03,0.034,26.5000
1951-12-10,2.54379439,0.03,0.034,26.5000
1951-12-11,2.53076034,0.03,0.034,26.5000
1951-12-12,2.538363657,0.03,0.034,26.5000
1951-12-13,2.540535826,0.03,0.034,26.5000
1951-12-14,2.538363657,0.03,0.034,26.5000
1951-12-17,2.542708202,0.03,0.034,26.5000
1951-12-18,2.5513975,0.03,0.034,26.5000
1951-12-19,2.560086798,0.03,0.034,26.5000
1951-12-20,2.560086798,0.03,0.034,26.5000
1951-12-21,2.553569876,0.03,0.034,26.5000
1951-12-24,2.556828441,0.03,0.034,26.5000
1951-12-26,2.545966766,0.03,0.034,26.5000
1951-12-27,2.568776096,0.03,0.034,26.5000
1951-12-28,2.573120848,0.03,0.034,26.5000
1951-12-31,2.581810146,0.03,0.034,26.5000
1952-01-02,2.601205791,0.03,0.034,26.5000
1952-01-03,2.609949332,0.03,0.034,26.5000
1952-01-04,2.614321207,0.03,0.034,26.5000
1952-01-07,2.613228238,0.03,0.034,26.5000
1952-01-08,2.603391729,0.03,0.034,26.5000
1952-01-09,2.594648188,0.03,0.034,26.5000
1952-01-10,2.607763603,0.03,0.034,26.5000
1952-01-11,2.62087881,0.03,0.034,26.5000
1952-01-14,2.640551829,0.03,0.034,26.5000
1952-01-15,2.629622351,0.03,0.034,26.5000
1952-01-16,2.632901257,0.03,0.034,26.5000
1952-01-17,2.644923704,0.03,0.034,26.5000
1952-01-18,2.650388339,0.03,0.034,26.5000
1952-01-21,2.673340055,0.03,0.034,26.5000
1952-01-22,2.695199012,0.03,0.034,26.5000
1952-01-23,2.682083805,0.03,0.034,26.5000
1952-01-24,2.684269533,0.03,0.034,26.5000
1952-01-25,2.683176565,0.03,0.034,26.5000
1952-01-28,2.689734377,0.03,0.034,26.5000
1952-01-29,2.685362502,0.03,0.034,26.5000
1952-01-30,2.648202402,0.03,0.034,26.5000
1952-01-31,2.638365892,0.03,0.034,26.5000
1952-02-01,2.669209822,0.03,0.034,26.3000
1952-02-04,2.649438073,0.03,0.034,26.3000
1952-02-05,2.648339608,0.03,0.034,26.3000
1952-02-06,2.656028656,0.03,0.034,26.3000
1952-02-07,2.648339608,0.03,0.034,26.3000
1952-02-08,2.662619239,0.03,0.034,26.3000
1952-02-11,2.648339608,0.03,0.034,26.3000
1952-02-13,2.627469184,0.03,0.034,26.3000
1952-02-14,2.621977066,0.03,0.034,26.3000
1952-02-15,2.6208786,0.03,0.034,26.3000
1952-02-18,2.607697225,0.03,0.034,26.3000
1952-02-19,2.565956586,0.03,0.034,26.3000
1952-02-20,2.536298648,0.03,0.034,26.3000
1952-02-21,2.543987696,0.03,0.034,26.3000
1952-02-25,2.551676745,0.03,0.034,26.3000
1952-02-26,2.542889231,0.03,0.034,26.3000
1952-02-27,2.546184627,0.03,0.034,26.3000
1952-02-28,2.558267537,0.03,0.034,26.3000
1952-02-29,2.554972141,0.03,0.034,26.3000
1952-03-03,2.571634805,0.03,0.034,26.3000
1952-03-04,2.614697749,0.03,0.034,26.3000
1952-03-05,2.618010154,0.03,0.034,26.3000
1952-03-06,2.615801954,0.03,0.034,26.3000
1952-03-07,2.619114359,0.03,0.034,26.3000
1952-03-10,2.605864319,0.03,0.034,26.3000
1952-03-11,2.608072729,0.03,0.034,26.3000
1952-03-12,2.620218564,0.03,0.034,26.3000
1952-03-13,2.622426974,0.03,0.034,26.3000
1952-03-14,2.622426974,0.03,0.034,26.3000
1952-03-17,2.641198038,0.03,0.034,26.3000
1952-03-18,2.635677224,0.03,0.034,26.3000
1952-03-19,2.630156199,0.03,0.034,26.3000
1952-03-20,2.637885423,0.03,0.034,26.3000
1952-03-21,2.642302244,0.03,0.034,26.3000
1952-03-24,2.642302244,0.03,0.034,26.3000
1952-03-25,2.626843794,0.03,0.034,26.3000
1952-03-26,2.625739589,0.03,0.034,26.3000
1952-03-27,2.648927263,0.03,0.034,26.3000
1952-03-28,2.669906738,0.03,0.034,26.3000
1952-03-31,2.690886213,0.03,0.034,26.3000
1952-04-01,2.683206907,0.03,0.034,26.4000
1952-04-02,2.676548885,0.03,0.034,26.4000
1952-04-03,2.676548885,0.03,0.034,26.4000
1952-04-04,2.66545204,0.03,0.034,26.4000
1952-04-07,2.641038939,0.03,0.034,26.4000
1952-04-08,2.653245489,0.03,0.034,26.4000
1952-04-09,2.656574606,0.03,0.034,26.4000
1952-04-10,2.675439179,0.03,0.034,26.4000
1952-04-14,2.657684312,0.03,0.034,26.4000
1952-04-15,2.624393777,0.03,0.034,26.4000
1952-04-16,2.616626049,0.03,0.034,26.4000
1952-04-17,2.597761476,0.03,0.034,26.4000
1952-04-18,2.607748616,0.03,0.034,26.4000
1952-04-21,2.6288326,0.03,0.034,26.4000
1952-04-22,2.616626049,0.03,0.034,26.4000
1952-04-23,2.605529204,0.03,0.034,26.4000
1952-04-24,2.599980888,0.03,0.034,26.4000
1952-04-25,2.612187438,0.03,0.034,26.4000
1952-04-28,2.613296932,0.03,0.034,26.4000
1952-04-29,2.60663891,0.03,0.034,26.4000
1952-04-30,2.587774337,0.03,0.034,26.4000
1952-05-01,2.586003092,0.03,0.034,26.4000
1952-05-02,2.629530914,0.03,0.034,26.4000
1952-05-05,2.640691953,0.03,0.034,26.4000
1952-05-06,2.641808079,0.03,0.034,26.4000
1952-05-07,2.657433407,0.03,0.034,26.4000
1952-05-08,2.663014033,0.03,0.034,26.4000
1952-05-09,2.660781783,0.03,0.034,26.4000
1952-05-12,2.650736868,0.03,0.034,26.4000
1952-05-13,2.654085244,0.03,0.034,26.4000
1952-05-14,2.642924204,0.03,0.034,26.4000
1952-05-15,2.633995415,0.03,0.034,26.4000
1952-05-16,2.629530914,0.03,0.034,26.4000
1952-05-19,2.63511154,0.03,0.034,26.4000
1952-05-20,2.649620743,0.03,0.034,26.4000
1952-05-21,2.654085244,0.03,0.034,26.4000
1952-05-22,2.668594447,0.03,0.034,26.4000
1952-05-23,2.666362196,0.03,0.034,26.4000
1952-05-26,2.671942823,0.03,0.034,26.4000
1952-05-27,2.665246071,0.03,0.034,26.4000
1952-05-28,2.660781783,0.03,0.034,26.4000
1952-05-29,2.663014033,0.03,0.034,26.4000
1952-06-02,2.671347098,0.03,0.034,26.5000
1952-06-03,2.669102431,0.03,0.034,26.5000
1952-06-04,2.688183491,0.03,0.034,26.5000
1952-06-05,2.70501967,0.03,0.034,26.5000
1952-06-06,2.722978289,0.03,0.034,26.5000
1952-06-09,2.735324921,0.03,0.034,26.5000
1952-06-10,2.719610968,0.03,0.034,26.5000
1952-06-11,2.728590278,0.03,0.034,26.5000
1952-06-12,2.728590278,0.03,0.034,26.5000
1952-06-13,2.735324921,0.03,0.034,26.5000
1952-06-16,2.727467837,0.03,0.034,26.5000
1952-06-17,2.730835159,0.03,0.034,26.5000
